period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,region_header,7,G-10 and Luxembourg,,,,,,,,,,,,
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,country_data,8,BELGIUM,0.0,34.0,34.0,91.0,160.0,260.0,7.0,0.0,86.0,0.0,0.0,86.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,country_data,9,CANADA,1599.0,4336.0,5935.0,13838.0,12366.0,9055.0,2850.0,371.0,8951.0,709.0,1560.0,8177.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,country_data,10,FRANCE,0.0,175.0,175.0,517.0,1732.0,1576.0,367.0,64.0,1830.0,0.0,1358.0,1829.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,country_data,11,GERMANY,0.0,640.0,640.0,1071.0,1010.0,3624.0,490.0,11.0,46824.0,0.0,533.0,46623.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,country_data,12,ITALY,0.0,158.0,158.0,610.0,1545.0,15.0,66.0,26.0,3.0,0.0,3.0,0.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,country_data,13,JAPAN,13.0,3754.0,3767.0,3870.0,164.0,3886.0,7823.0,116.0,9964.0,0.0,584.0,9957.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,country_data,14,LUXEMBOURG,12231.0,2161.0,14392.0,3293.0,-5855.0,358.0,361.0,53.0,7854.0,0.0,277.0,7574.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,country_data,15,NETHERLANDS,66.0,233.0,299.0,2457.0,1432.0,1726.0,494.0,80.0,87.0,0.0,66.0,21.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,country_data,16,SWEDEN,0.0,41.0,41.0,944.0,123.0,1710.0,58.0,5.0,113.0,0.0,102.0,19.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,country_data,17,SWITZERLAND,2.0,28.0,30.0,528.0,287.0,528.0,382.0,77.0,24306.0,1.0,90.0,24296.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,38377.0,22249.0,60626.0,24038.0,-3940.0,6468.0,1877.0,136.0,27409.0,11.0,3816.0,24406.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,subtotal,19,Total,52288.0,33809.0,86097.0,51257.0,9024.0,29206.0,14775.0,939.0,127427.0,721.0,8389.0,122988.0
2019Q3,2019,Q3,Table 3,3,All Others,G-10 and Luxembourg,empty,20,,,,,,,,,,,,,
2019Q3,2019,Q3,Table 3,3,All Others,Non G-10 Developed Countries,region_header,21,Non G-10 Developed Countries,,,,,,,,,,,,
2019Q3,2019,Q3,Table 3,3,All Others,Non G-10 Developed Countries,country_data,22,AUSTRALIA,4083.0,3675.0,7758.0,7447.0,1090.0,3156.0,145.0,24.0,132.0,0.0,109.0,27.0
2019Q3,2019,Q3,Table 3,3,All Others,Non G-10 Developed Countries,country_data,23,AUSTRIA,0.0,45.0,45.0,44.0,40.0,537.0,1.0,0.0,0.0,0.0,0.0,0.0
2019Q3,2019,Q3,Table 3,3,All Others,Non G-10 Developed Countries,country_data,24,CYPRUS,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0
2019Q3,2019,Q3,Table 3,3,All Others,Non G-10 Developed Countries,country_data,25,DENMARK,0.0,1.0,1.0,250.0,16.0,158.0,28.0,10.0,28.0,0.0,19.0,9.0
2019Q3,2019,Q3,Table 3,3,All Others,Non G-10 Developed Countries,country_data,26,FINLAND,0.0,3.0,3.0,503.0,75.0,664.0,108.0,58.0,15.0,0.0,9.0,6.0
2019Q3,2019,Q3,Table 3,3,All Others,Non G-10 Developed Countries,country_data,27,GREECE,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
